1, 3.14113, 0.485224
1, 3.14113, 0.447933
2, 3.14188, 0.241107
2, 3.14242, 0.456663
3, 3.14206, 0.190941
3, 3.14305, 0.486742
4, 3.14237, 0.160197
4, 3.14198, 0.434638
5, 3.14199, 0.149
5, 3.14098, 0.469076
6, 3.14053, 0.128417
6, 3.14135, 0.47555
7, 3.1432, 0.0743148
7, 3.14188, 0.494977
8, 3.14251, 0.0939898
8, 3.14184, 0.487898
9, 3.14343, 0.093523
9, 3.14136, 0.493073
10, 3.14038, 0.0753191
10, 3.14226, 0.4852
11, 3.14195, 0.0681231
11, 3.14169, 0.439594
12, 3.14641, 0.0626919
12, 3.14091, 0.460443
1, 3.14158, 38.8685
1, 3.14156, 38.9276
2, 3.14162, 19.7021
2, 3.1416, 39.3216
3, 3.14165, 13.3269
3, 3.14169, 39.32
4, 3.14154, 9.97595
4, 3.14157, 39.1941
5, 3.14143, 8.19885
5, 3.14162, 41.0849
6, 3.14177, 6.87982
6, 3.14163, 41.3585
7, 3.14165, 41.3712
8, 3.14146, 5.17316
8, 3.14155, 41.1358
9, 3.14153, 4.63695
9, 3.14159, 41.1827
