1, 3.14118, 0.447401
1, 3.1417, 0.488798
2, 3.14213, 0.256094
2, 3.14214, 0.455563
3, 3.14094, 0.230188
3, 3.14064, 0.454984
4, 3.14253, 0.182724
4, 3.14196, 0.453173
5, 3.1421, 0.152317
5, 3.14136, 0.464188
6, 3.14153, 0.124561
6, 3.14167, 0.477674
7, 3.14205, 0.107307
7, 3.14082, 0.514652
8, 3.14092, 0.0935688
8, 3.14196, 0.481237
9, 3.14153, 0.08285
9, 3.14255, 0.487506
10, 3.14266, 0.0757
10, 3.14215, 0.483687
11, 3.13864, 0.068619
11, 3.14165, 0.466641
12, 3.14441, 0.0643449
12, 3.14204, 0.499156
1, 3.14163, 38.8295
1, 3.14158, 38.8732
2, 3.14159, 19.7652
2, 3.14156, 39.7751
3, 3.14174, 13.1288
3, 3.14162, 39.3456
4, 3.14171, 9.8763
4, 3.1416, 39.3709
5, 3.14157, 8.36263
5, 3.14154, 41.1177
6, 3.14156, 6.8994
6, 3.14159, 41.2696
7, 3.14168, 5.93552
7, 3.14163, 41.206
8, 3.14162, 5.21176
8, 3.14158, 41.1522
9, 3.14179, 4.73215
9, 3.14156, 41.279
10, 3.14155, 4.16592
10, 3.14159, 41.1576
11, 3.14154, 3.93129
11, 3.14156, 42.7074
12, 3.14165, 3.57048
12, 3.14158, 42.81
