1, 3.1416, 892.397
2, 3.14159, 891.549
3, 3.14159, 892.438
4, 3.14158, 894.706
5, 3.1416, 894.741
6, 3.14159, 930.184
7, 3.1416, 935.357
8, 3.14161, 893.441
9, 3.14158, 930.087
10, 3.14159, 892.801
11, 3.14159, 924.08
12, 3.14158, 892.521
1, 3.14159, 891.326
2, 3.14159, 892.128
3, 3.1416, 930.553
4, 3.14159, 894.205
5, 3.14158, 894.169
6, 3.14159, 934.183
7, 3.1416, 928.618
8, 3.1416, 892.646
9, 3.14159, 893.093
10, 3.1416, 893.134
11, 3.1416, 892.006
12, 3.14159, 892.097
9, 3.14159, 892.682
10, 3.1416, 892.491
1, 3.14159, 892.118
2, 3.1416, 891.235
3, 3.14159, 892.417
4, 3.14159, 893.871
5, 3.14158, 1560.85
5, 3.14158, 1758.36
