1, 3.14164, 0.223278
2, 3.14094, 0.224403
3, 3.14198, 0.223834
4, 3.14207, 0.224256
5, 3.14126, 0.436237
6, 3.14168, 0.443648
7, 3.14129, 0.443878
8, 3.14183, 0.443362
9, 3.14166, 0.443904
10, 3.1419, 0.444228
11, 3.14082, 0.443186
12, 3.14207, 0.447977
1, 3.14166, 22.2882
2, 3.14157, 22.2891
3, 3.14162, 22.3324
4, 3.14158, 23.0836
5, 3.1417, 44.6337
6, 3.14154, 44.9117
7, 3.14162, 44.6382
8, 3.14163, 43.7788
9, 3.14156, 42.7759
10, 3.14148, 44.6239
11, 3.1415, 44.611
12, 3.14161, 44.5543
7, 3.1416, 997.618
8, 3.1416, 906.925
